Timestamp,session.code,participant.label,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25
2024/06/17 1:57:18 PM GMT+9,ph35usbx,927,はい、わかりやすかったです,はい、難しかったです,売り買いしたことがない,売り買いしたことがない,あらかじめ購入価格の上限を決めておき、それ以上に価格が上昇したらあきらめる,入札価格が即決価格に近くなるまで、即決価格では購入しない,ネットオークションで購入したことがない,オークション終了まで待たなくても購入できるから,即決価格で購入した場合がある,確実に利益がでるから,ネットでの評判を確認したり、他の誰かに一度相談してから購入するかどうかを決める,話題に乗り遅れないよう、長時間行列に並んででもその店に食べに行く,くじ３：賞金A＝2000円、賞金B＝4400円,3797円,39,25,45,16,5000,10,24,損得なし,50,50,18
2024/06/17 1:59:20 PM GMT+9,ph35usbx,921,はい、わかりやすかったです,いいえ、簡単でした,物を買ったことがある,それ以下の頻度,あらかじめ購入価格の上限を決めておき、それ以上に価格が上昇したらあきらめる,入札価格が即決価格に近くなるまで、即決価格では購入しない,どちらでもかまわない,該当なし,即決価格で購入した場合がある,即決しない場合他人に落札されるリスクがあるため,ネットでの評判を確認したり、他の誰かに一度相談してから購入するかどうかを決める,世間での話題もひと段落して、行列ができなくなった頃になってから食べに行く,くじ２：賞金A＝2400円、賞金B＝3600円,3797円,25,30,24,5,2000,5,20,損失を出している,50,4.5,29
2024/06/17 1:59:31 PM GMT+9,ph35usbx,919,はい、わかりやすかったです,いいえ、簡単でした,物を買ったことがある,それ以下の頻度,あらかじめ購入価格の上限を決めておき、それ以上に価格が上昇したらあきらめる,他の人が入札してきたら、すぐに即決価格で購入する,即決価格が設定されているオークションの方がよい,即決価格で確実に購入できるから,即決価格で購入した場合がある,確実に落札できるから,他の店にも足を運び、一番値段が安い店を探す,世間での話題もひと段落して、行列ができなくなった頃になってから食べに行く,くじ１：賞金A＝2800円、賞金B＝2800円,1か月後に3000円を受け取る,60,30,24,100,2000,20,45,利益を上げている,20,4,31
2024/06/17 1:59:37 PM GMT+9,ph35usbx,928,はい、わかりやすかったです,いいえ、簡単でした,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,利益がマイナスにならないから,購入した場合に残り資金があまりにも少なくなりそうだったらあきらめる,比較的混んでいない時間帯まで待ってから出かける,くじ１：賞金A＝2800円、賞金B＝2800円,1か月後に3000円を受け取る,25,30,47,5,2000,5,50,損失を出している,66,4,31
2024/06/17 1:59:47 PM GMT+9,ph35usbx,931,はい、わかりやすかったです,いいえ、簡単でした,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,利益が100円以上出るから,他の店にも足を運び、一番値段が安い店を探す,比較的混んでいない時間帯まで待ってから出かける,くじ１：賞金A＝2800円、賞金B＝2800円,3308円,10,30,24,100,2000,10,48,損失を出している,28,9,30
2024/06/17 2:00:25 PM GMT+9,ph35usbx,914,はい、わかりやすかったです,いいえ、簡単でした,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,即決価格で購入している人が多かったため、即決価格で購入した方がリスクが少ないと思ったから。,その店ですぐに購入する,世間での話題もひと段落して、行列ができなくなった頃になってから食べに行く,くじ２：賞金A＝2400円、賞金B＝3600円,3797円,75,60,47,500,2000,5,20,損失を出している,13,5,31
2024/06/17 2:00:32 PM GMT+9,ph35usbx,915,はい、わかりやすかったです,いいえ、簡単でした,物を買ったことがある,それ以下の頻度,あらかじめ購入価格の上限を決めておき、それ以上に価格が上昇したらあきらめる,入札価格が即決価格に近くなるまで、即決価格では購入しない,即決価格が設定されていないオークションの方がよい,該当なし,即決価格で購入した場合がある,確実に利益を出すため,他の店にも足を運び、一番値段が安い店を探す,世間での話題もひと段落して、行列ができなくなった頃になってから食べに行く,くじ３：賞金A＝2000円、賞金B＝4400円,3797円,10,25,24,100,1000,10,23,損失を出している,66,4,30
2024/06/17 2:01:34 PM GMT+9,ph35usbx,901,はい、わかりやすかったです,いいえ、簡単でした,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,4人の場合、利益が0になる可能性が高いから,次の日まで待って、まだその商品が欲しい場合は購入する,世間での話題もひと段落して、行列ができなくなった頃になってから食べに行く,くじ５：賞金A＝1200円、賞金B＝6000円,3467円,1,6,47,5,2000,5,23,損失を出している,4,4,29
2024/06/17 2:01:37 PM GMT+9,ph35usbx,923,はい、わかりやすかったです,いいえ、簡単でした,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,評価値が即決価格に比べて多いとき．,ネットでの評判を確認したり、他の誰かに一度相談してから購入するかどうかを決める,世間での話題もひと段落して、行列ができなくなった頃になってから食べに行く,くじ１：賞金A＝2800円、賞金B＝2800円,3797円,25,30,47,5,2000,5,20,損失を出している,66,4,29
2024/06/17 2:02:46 PM GMT+9,ph35usbx,920,いいえ、わかりにくいところがありました,はい、難しかったです,物を買ったことがある,それ以下の頻度,あらかじめ購入価格の上限を決めておき、それ以上に価格が上昇したらあきらめる,即決価格が設定されている場合、割高だと感じても即決価格ですぐに購入する,どちらでもかまわない,自分の好きなタイミングで購入できるから,即決価格で購入した場合がある,特になし,その店ですぐに購入する,比較的混んでいない時間帯まで待ってから出かける,くじ６：賞金A＝200円、賞金B＝7000円,3797円,25,30,47,100,2000,5,20,損失を出している,8,4,29
2024/06/17 2:02:48 PM GMT+9,ph35usbx,925,いいえ、わかりにくいところがありました,いいえ、簡単でした,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,何となく,他の店にも足を運び、一番値段が安い店を探す,比較的混んでいない時間帯まで待ってから出かける,くじ５：賞金A＝1200円、賞金B＝6000円,3797円,60,33,47,3,0,10,50,損得なし,50,4,31
2024/06/17 2:02:56 PM GMT+9,ph35usbx,905,はい、わかりやすかったです,いいえ、簡単でした,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,少しでも利益が得られるとき,ネットでの評判を確認したり、他の誰かに一度相談してから購入するかどうかを決める,比較的混んでいない時間帯まで待ってから出かける,くじ１：賞金A＝2800円、賞金B＝2800円,3797円,25,30,24,5,2000,10,20,損失を出している,50,9,29
2024/06/17 2:02:59 PM GMT+9,ph35usbx,911,はい、わかりやすかったです,いいえ、簡単でした,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,利益が出る可能性が大きかったから,ネットでの評判を確認したり、他の誰かに一度相談してから購入するかどうかを決める,世間での話題もひと段落して、行列ができなくなった頃になってから食べに行く,くじ６：賞金A＝200円、賞金B＝7000円,3797円,25,30,47,5,2000,5,23,損失を出している,44,4,31
2024/06/17 2:03:03 PM GMT+9,ph35usbx,929,はい、わかりやすかったです,いいえ、簡単でした,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,評価額が即決価格をそこそこに上回っていたから。,次の日まで待って、まだその商品が欲しい場合は購入する,世間での話題もひと段落して、行列ができなくなった頃になってから食べに行く,くじ２：賞金A＝2400円、賞金B＝3600円,1か月後に3000円を受け取る,25,30,47,5,2000,5,20,損失を出している,4,4,29
2024/06/17 2:03:22 PM GMT+9,ph35usbx,909,はい、わかりやすかったです,いいえ、簡単でした,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,他の人に落札されてしまい手に入れられなくなることを恐れたから,ネットでの評判を確認したり、他の誰かに一度相談してから購入するかどうかを決める,世間での話題もひと段落して、行列ができなくなった頃になってから食べに行く,くじ２：賞金A＝2400円、賞金B＝3600円,3548円,25,30,47,100,2000,10,40,損失を出している,50,4,31
2024/06/17 2:03:52 PM GMT+9,ph35usbx,922,はい、わかりやすかったです,いいえ、簡単でした,物を買ったことがある,1か月に1回程度,入札終了直前まで様子を見て、一気に高い価格を付けて落札をねらう,入札価格が即決価格に近くなるまで、即決価格では購入しない,どちらでもかまわない,該当なし,即決価格で購入した場合がある,確実に購入するため,他の店にも足を運び、一番値段が安い店を探す,話題に乗り遅れないよう、長時間行列に並んででもその店に食べに行く,くじ６：賞金A＝200円、賞金B＝7000円,3308円,25,30,12,5,2000,10,24,損失を出している,10,9,29
2024/06/17 2:05:02 PM GMT+9,ph35usbx,924,はい、わかりやすかったです,はい、難しかったです,物を売ったことがある,それ以下の頻度,あらかじめ購入価格の上限を決めておき、それ以上に価格が上昇したらあきらめる,入札価格が即決価格に近くなるまで、即決価格では購入しない,どちらでもかまわない,該当なし,即決価格で購入した場合がある,利益の確定をしたかった、という理由が大きい。,他の店にも足を運び、一番値段が安い店を探す,世間での話題もひと段落して、行列ができなくなった頃になってから食べに行く,くじ５：賞金A＝1200円、賞金B＝6000円,3797円,25,30,47,5,2000,5,20,損失を出している,8,4,29
2024/06/17 2:05:43 PM GMT+9,ph35usbx,918,はい、わかりやすかったです,いいえ、簡単でした,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,利益が発生するから,ネットでの評判を確認したり、他の誰かに一度相談してから購入するかどうかを決める,比較的混んでいない時間帯まで待ってから出かける,くじ１：賞金A＝2800円、賞金B＝2800円,3797円,25,30,47,20,2000,5,23,損失を出している,50,5,31
2024/06/17 2:06:20 PM GMT+9,ph35usbx,916,はい、わかりやすかったです,いいえ、簡単でした,物を買ったことがある,1か月に1回程度,ネットオークションで購入したことがない,即決価格が設定されている場合、割高だと感じても即決価格ですぐに購入する,即決価格が設定されているオークションの方がよい,自分の好きなタイミングで購入できるから,一度も即決価格で購入しなかった,特になし,その店ですぐに購入する,比較的混んでいない時間帯まで待ってから出かける,くじ５：賞金A＝1200円、賞金B＝6000円,3797円,25,30,47,20,2000,5,20,利益を上げている,10,5,29
2024/06/17 2:08:24 PM GMT+9,ph35usbx,930,いいえ、わかりにくいところがありました,いいえ、簡単でした,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,1円でも利益が出るなら他の人に取られないうちに購入しようとら思ったから。,ネットでの評判を確認したり、他の誰かに一度相談してから購入するかどうかを決める,世間での話題もひと段落して、行列ができなくなった頃になってから食べに行く,くじ２：賞金A＝2400円、賞金B＝3600円,3467円,62.5,30,40,100,2000,10,12,損失を出している,9,4,29
2024/06/17 2:08:48 PM GMT+9,ph35usbx,926,いいえ、わかりにくいところがありました,はい、難しかったです,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,利益が出る場合の可能性にかけたから,その店ですぐに購入する,比較的混んでいない時間帯まで待ってから出かける,くじ２：賞金A＝2400円、賞金B＝3600円,3467円,20,30,30,100,2000,5,40,利益を上げている,30,5,30
2024/06/17 2:09:03 PM GMT+9,ph35usbx,917,はい、わかりやすかったです,いいえ、簡単でした,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,一度も即決価格で購入しなかった,特になし,他の店にも足を運び、一番値段が安い店を探す,世間での話題もひと段落して、行列ができなくなった頃になってから食べに行く,くじ３：賞金A＝2000円、賞金B＝4400円,3548円,25,30,5,100,2000,10,23,損失を出している,55,5,29
2024/06/17 2:10:32 PM GMT+9,ph35usbx,904,はい、わかりやすかったです,いいえ、簡単でした,物を買ったことがある,それ以下の頻度,入札終了直前まで様子を見て、一気に高い価格を付けて落札をねらう,他の人が入札してきたら、すぐに即決価格で購入する,どちらでもかまわない,該当なし,即決価格で購入した場合がある,確実に利益を確保するため。特に自分の評価額が即決価格より少ししか高くない場合、オークションで利益が確保できないことを避けるためになるべく即決で選ぶようにした。,他の店にも足を運び、一番値段が安い店を探す,比較的混んでいない時間帯まで待ってから出かける,くじ３：賞金A＝2000円、賞金B＝4400円,3548円,25,30,47,5,2000,5,20,損失を出している,4,9,29
2024/06/17 2:11:14 PM GMT+9,ph35usbx,907,はい、わかりやすかったです,いいえ、簡単でした,物を買ったことがある,それ以下の頻度,入札終了直前まで様子を見て、一気に高い価格を付けて落札をねらう,他の人が入札してきたら、すぐに即決価格で購入する,即決価格が設定されているオークションの方がよい,即決価格で確実に購入できるから,即決価格で購入した場合がある,少しでも利益があるならいいと考えたから。,他の店にも足を運び、一番値段が安い店を探す,世間での話題もひと段落して、行列ができなくなった頃になってから食べに行く,くじ３：賞金A＝2000円、賞金B＝4400円,1か月後に3000円を受け取る,25,30,34,5,2000,5,20,損失を出している,50,4,29
2024/06/17 2:11:17 PM GMT+9,ph35usbx,908,はい、わかりやすかったです,いいえ、簡単でした,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,利益が高かったから,ネットでの評判を確認したり、他の誰かに一度相談してから購入するかどうかを決める,世間での話題もひと段落して、行列ができなくなった頃になってから食べに行く,くじ２：賞金A＝2400円、賞金B＝3600円,1か月後に3000円を受け取る,25,30,30,5,2000,5,20,損失を出している,50,4,29
2024/06/17 2:13:58 PM GMT+9,ph35usbx,913,いいえ、わかりにくいところがありました,はい、難しかったです,売り買いしたことがない,売り買いしたことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,ネットオークションで購入したことがない,該当なし,即決価格で購入した場合がある,利益がプラスになるから,他の店にも足を運び、一番値段が安い店を探す,比較的混んでいない時間帯まで待ってから出かける,くじ２：賞金A＝2400円、賞金B＝3600円,3308円,25,30,47,5,2000,5,20,損失を出している,30,6,331
