treatment,session_delta,session,participant,case,group,is_group4,delta,pv,discounted_pv,is_buyout,bid_amount,payment,win_buyout,win_bid,payoff,total_payoff,final_payoff,order,risk_av,time_pref,crt_mean,participant.code
1,0.6,20230124am,01,1,5,1,1,30,30,0,NA,NA,0,0,0,1226,2226,20,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,2,5,1,1,100,100,0,NA,NA,0,0,0,1226,2226,19,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,3,5,1,1,430,430,0,NA,NA,0,0,0,1226,2226,11,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,4,5,1,1,790,790,1,NA,NA,0,0,0,1226,2226,6,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,5,5,1,1,980,980,1,NA,NA,1,0,240,1226,2226,2,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,6,9,0,1,490,490,0,NA,NA,0,0,0,1226,2226,12,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,7,9,0,1,280,280,0,281,NA,0,0,0,1226,2226,15,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,8,9,0,1,70,70,0,71,NA,0,0,0,1226,2226,9,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,9,9,0,1,560,560,0,NA,NA,0,0,0,1226,2226,10,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,10,9,0,1,640,640,0,641,160,0,1,480,1226,2226,7,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,11,5,1,0.6,220,132,0,NA,NA,0,0,0,1226,2226,3,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,12,5,1,0.6,320,192,0,NA,NA,0,0,0,1226,2226,13,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,13,5,1,0.6,540,324,0,NA,NA,0,0,0,1226,2226,16,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,14,5,1,0.6,770,462,1,NA,NA,1,0,30,1226,2226,8,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,15,5,1,0.6,850,510,1,NA,NA,0,0,0,1226,2226,1,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,16,9,0,0.6,160,96,0,97,NA,0,0,0,1226,2226,17,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,17,9,0,0.6,350,210,0,NA,NA,0,0,0,1226,2226,14,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,18,9,0,0.6,910,546,1,NA,NA,1,0,170,1226,2226,18,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,19,9,0,0.6,610,366,0,370,60,0,1,306,1226,2226,4,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,01,20,9,0,0.6,500,300,0,NA,NA,0,0,0,1226,2226,5,3.46,0.7900974453515933,1,lqibugpa
1,NA,20230124am,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226,2226,NA,3.46,0.7900974453515933,1,lqibugpa
1,NA,20230124am,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226,2226,NA,3.46,0.7900974453515933,1,lqibugpa
1,NA,20230124am,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226,2226,NA,3.46,0.7900974453515933,1,lqibugpa
1,NA,20230124am,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226,2226,NA,3.46,0.7900974453515933,1,lqibugpa
1,NA,20230124am,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226,2226,NA,3.46,0.7900974453515933,1,lqibugpa
1,NA,20230124am,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226,2226,NA,3.46,0.7900974453515933,1,lqibugpa
1,NA,20230124am,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226,2226,NA,3.46,0.7900974453515933,1,lqibugpa
1,NA,20230124am,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226,2226,NA,3.46,0.7900974453515933,1,lqibugpa
1,NA,20230124am,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226,2226,NA,3.46,0.7900974453515933,1,lqibugpa
1,NA,20230124am,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226,2226,NA,3.46,0.7900974453515933,1,lqibugpa
1,NA,20230124am,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226,2226,NA,3.46,0.7900974453515933,1,lqibugpa
1,0.6,20230124am,03,1,3,1,1,30,30,0,NA,NA,0,0,0,1412,2412,20,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,2,3,1,1,100,100,0,NA,NA,0,0,0,1412,2412,19,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,3,3,1,1,430,430,0,NA,NA,0,0,0,1412,2412,11,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,4,3,1,1,790,790,0,NA,NA,0,0,0,1412,2412,6,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,5,3,1,1,980,980,1,NA,NA,1,0,240,1412,2412,2,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,6,5,0,1,490,490,0,NA,NA,0,0,0,1412,2412,12,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,7,5,0,1,280,280,0,NA,NA,0,0,0,1412,2412,15,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,8,5,0,1,70,70,0,70,NA,0,0,0,1412,2412,9,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,9,5,0,1,560,560,0,560,350,0,1,210,1412,2412,10,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,10,5,0,1,640,640,0,640,160,0,1,480,1412,2412,7,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,11,3,1,0.6,220,132,0,30,NA,0,0,0,1412,2412,3,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,12,3,1,0.6,320,192,0,NA,NA,0,0,0,1412,2412,13,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,13,3,1,0.6,540,324,0,NA,NA,0,0,0,1412,2412,16,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,14,3,1,0.6,770,462,0,462,NA,0,0,0,1412,2412,8,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,15,3,1,0.6,850,510,0,NA,NA,0,0,0,1412,2412,1,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,16,5,0,0.6,160,96,0,96,NA,0,0,0,1412,2412,17,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,17,5,0,0.6,350,210,0,NA,NA,0,0,0,1412,2412,14,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,18,5,0,0.6,910,546,1,NA,NA,1,0,170,1412,2412,18,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,19,5,0,0.6,610,366,0,360,60,0,1,306,1412,2412,4,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,0.6,20230124am,03,20,5,0,0.6,500,300,0,300,294,0,1,6,1412,2412,5,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
1,NA,20230124am,03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1412,2412,NA,0.25,0.8857395925597874,0.5454545454545454,3j2du57u
